train_score,test_score,pred_train,pred_test
0.0,-0.016807038771464722,"[45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465]","[45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465, 45.846538461538465]"
0.0,-0.0011839922235570288,"[47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462]","[47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462, 47.42038461538462]"
0.0,-0.001179807146432843,"[47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744]","[47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744, 47.49589743589744]"
0.0,-8.284522305856967e-05,"[47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226]","[47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226, 47.028481012658226]"
0.0,-0.03443483709021011,"[47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405]","[47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405, 47.800632911392405]"
