train_score,test_score,pred_train,pred_test
0.872417138964075,0.8040436483961636,"[3.557470852337247, 3.557470852337247, 1.4022808289139912, 1.464019588427388, 3.575640442839189, 3.4130553589389314, 3.5823261226182765, 3.5823261226182765, 3.5823261226182765, 4.158427671163287, 5.567767535728585, 3.3939039708712704, 3.4130553589389314, 5.502350464808481, 4.144660017598946, 3.575640442839189, 3.452480671711436, 4.017734746177813, 3.3857506847113483, 3.3857506847113483, 3.754494581363008, 3.754494581363008, 4.144660017598946, 3.6380505873490145, 4.123408591364888, 3.398527023967599, 1.2549089189550706, 1.1157488403154763, 3.557470852337247, 3.759728163635701, 3.5823261226182765, 4.120692175998086, 3.754494581363008, 4.158427671163287, 3.3802221169256987, 3.3857506847113483, 3.9333019520067043, 3.9333019520067043, 3.5823261226182765, 3.759728163635701, 3.9333019520067043, 4.321847059476746, 3.557470852337247, 3.557470852337247, 3.557470852337247, 3.5823261226182765, 3.5823261226182765, 3.5823261226182765, 3.398527023967599, 3.398527023967599, 3.5823261226182765, 4.158427671163287, 3.754494581363008, 3.754494581363008, 3.3939039708712704, 3.759728163635701, 3.9333019520067043, 3.6380505873490145, 3.7051173040891583, 3.5823261226182765, 3.3249867816683034, 3.452480671711436, 3.759728163635701, 3.5823261226182765, 3.6380505873490145, 3.3802221169256987, 3.3249867816683034, 3.3939039708712704, 2.904769448312013, 3.759728163635701, 3.759728163635701, 4.017734746177813, 4.372522754434298, 3.5823261226182765, 3.557470852337247, 3.9984077989178566, 3.557470852337247, 3.759728163635701]","[3.9984077989178566, 3.575640442839189, 3.5823261226182765, 3.815695270510645, 5.502350464808481, 3.452480671711436, 4.158427671163287, 4.158427671163287, 4.144660017598946, 1.4530378335018646, 4.415112951003488, 3.4130553589389314, 3.9333019520067043, 3.5823261226182765, 4.158427671163287, 3.754494581363008, 3.7051173040891583, 3.9333019520067043, 3.759728163635701, 3.557470852337247]"
0.9060315092334194,0.47023457724732753,"[3.575248806953977, 1.405935962343388, 1.4596504248920523, 3.589858553686799, 3.88383307642139, 3.589858553686799, 3.4454637358975453, 3.568880535640101, 3.568880535640101, 3.568880535640101, 3.568880535640101, 4.378690819035116, 5.544056817670984, 3.3938879865109257, 3.4454637358975453, 5.507996669214314, 5.507996669214314, 4.010609233460094, 3.589858553686799, 3.2708212283282863, 3.9096164892481204, 3.383344288744212, 3.383344288744212, 3.703732861140474, 3.703732861140474, 3.735108273613604, 3.735108273613604, 4.010609233460094, 4.010609233460094, 3.6436993373104016, 4.110124788042726, 3.392151137531405, 0.9733222684721431, 4.209789341662124, 3.575248806953977, 3.915911944355589, 3.568880535640101, 3.1762700910485795, 3.383344288744212, 3.4454637358975453, 3.8329953315185334, 3.568880535640101, 3.915911944355589, 4.322610086264337, 3.575248806953977, 3.575248806953977, 3.568880535640101, 3.568880535640101, 3.568880535640101, 3.392151137531405, 3.392151137531405, 3.568880535640101, 3.735108273613604, 3.703732861140474, 3.703732861140474, 3.3938879865109257, 3.735108273613604, 3.703732861140474, 3.915911944355589, 3.8329953315185334, 3.725125357959845, 3.6436993373104016, 3.725125357959845, 3.568880535640101, 3.3371501476860455, 3.915911944355589, 3.6436993373104016, 3.3371501476860455, 3.8329953315185334, 3.3938879865109257, 2.906272228436545, 3.915911944355589, 4.3747281758273875, 3.568880535640101, 3.575248806953977, 3.88383307642139, 3.575248806953977, 3.915911944355589]","[3.575248806953977, 3.735108273613604, 3.2708212283282863, 3.2935913729737742, 1.7276831904942713, 4.353717590029783, 3.703732861140474, 3.735108273613604, 3.8329953315185334, 3.8329953315185334, 3.8329953315185334, 3.575248806953977, 3.568880535640101, 3.2708212283282863, 3.568880535640101, 3.1762700910485795, 3.915911944355589, 3.915911944355589, 3.9096164892481204, 3.575248806953977]"
0.8785156042163608,0.560032704120623,"[3.5880023100975342, 1.4549575788850826, 3.7862043502893274, 3.4754013337827048, 3.3277138516569558, 3.5618125829956164, 3.5618125829956164, 3.5618125829956164, 4.086906051565263, 4.370293802832611, 3.3950086181892662, 5.504564749993145, 5.504564749993145, 4.026793344821513, 3.4754013337827048, 3.3932508348173642, 3.3932508348173642, 4.035490892183174, 3.780081819731137, 4.086906051565263, 4.086906051565263, 4.026793344821513, 4.026793344821513, 3.756468787992594, 4.119707334138781, 3.3911062831074212, 1.2489006493599224, 0.9705646649791245, 1.1109389598290744, 4.2051579951650515, 3.5880023100975342, 3.8714797027073944, 3.5618125829956164, 4.120691867503593, 3.780081819731137, 4.086906051565263, 3.3834256475419595, 3.8190996016467924, 3.3277138516569558, 3.8190996016467924, 3.8190996016467924, 3.5618125829956164, 3.8190996016467924, 4.3154177822594235, 3.5880023100975342, 3.5880023100975342, 3.5618125829956164, 3.5618125829956164, 3.5618125829956164, 3.3911062831074212, 3.3911062831074212, 3.5618125829956164, 3.780081819731137, 3.3950086181892662, 4.086906051565263, 3.780081819731137, 3.8714797027073944, 3.8190996016467924, 3.725415354920644, 3.756468787992594, 3.725415354920644, 3.5618125829956164, 3.328565253007388, 3.3932508348173642, 3.5618125829956164, 3.3834256475419595, 3.328565253007388, 3.8190996016467924, 3.3950086181892662, 3.8714797027073944, 3.8714797027073944, 3.8714797027073944, 4.035490892183174, 4.370286706073769, 3.5618125829956164, 3.5880023100975342, 3.5880023100975342, 3.8714797027073944]","[3.5880023100975342, 0.9803921041722393, 3.4754013337827048, 3.5618125829956164, 4.193340113429747, 3.3277138516569558, 3.5901144545282855, 3.5901144545282855, 3.780081819731137, 3.5901144545282855, 3.8714797027073944, 3.5880023100975342, 3.5618125829956164, 4.086906051565263, 3.780081819731137, 3.8714797027073944, 3.756468787992594, 3.6877862942694852, 3.7862043502893274, 3.5880023100975342]"
0.8816468499506254,0.7291891387076066,"[3.571192975858765, 3.571192975858765, 1.40139866223298, 1.4579815334566006, 3.712850575279194, 3.891389966258965, 3.712850575279194, 3.6656674390339252, 3.6656674390339252, 3.6656674390339252, 4.003258471650258, 4.37526602418181, 5.567386036128863, 3.5845882319004887, 5.46214895101978, 3.395635240167374, 3.395635240167374, 3.3884460913104832, 3.3884460913104832, 3.717959324801955, 3.717959324801955, 4.003258471650258, 4.003258471650258, 3.9746117408569916, 3.9746117408569916, 3.591604914425075, 4.115710482596662, 3.5260603555561203, 1.2393026742877182, 0.970765113573712, 1.1116700850229329, 4.205416884798267, 3.571192975858765, 4.122762460059439, 3.717959324801955, 4.003258471650258, 3.3884460913104832, 3.8385210811240316, 3.5845882319004887, 3.8385210811240316, 3.8385210811240316, 3.7253108022803896, 3.8385210811240316, 4.316781935347003, 3.571192975858765, 3.571192975858765, 3.571192975858765, 3.6656674390339252, 3.6656674390339252, 3.6656674390339252, 3.6656674390339252, 3.5260603555561203, 3.6656674390339252, 4.003258471650258, 3.717959324801955, 3.717959324801955, 3.4049050485564987, 4.003258471650258, 3.717959324801955, 3.7253108022803896, 3.8385210811240316, 3.7737532475621087, 3.395635240167374, 3.7253108022803896, 3.6656674390339252, 3.591604914425075, 3.593827670869746, 3.201749627684109, 3.8385210811240316, 2.907981422327661, 3.7253108022803896, 3.7253108022803896, 3.7253108022803896, 4.164516545672933, 4.370479040211918, 3.571192975858765, 3.571192975858765, 3.891389966258965, 3.571192975858765]","[3.5845882319004887, 3.6656674390339252, 3.4049050485564987, 5.46214895101978, 3.9746117408569916, 3.712850575279194, 4.164516545672933, 3.7253108022803896, 3.6656674390339252, 3.593827670869746, 3.6656674390339252, 3.5260603555561203, 3.591604914425075, 3.7737532475621087, 3.6656674390339252, 3.201749627684109, 3.4049050485564987, 3.6656674390339252, 3.7253108022803896]"
0.8709348968086472,0.8003671592985819,"[3.5720417324448297, 3.5720417324448297, 1.4003871613671088, 3.578014881815192, 3.8846610411875493, 3.578014881815192, 3.4443621361054055, 3.559365741552578, 3.559365741552578, 3.559365741552578, 3.9816519468106404, 4.371389550231138, 5.566241149812746, 3.388484918541246, 3.4443621361054055, 5.510246934673083, 5.510246934673083, 3.8848894718957876, 3.578014881815192, 3.3893414378771256, 3.3893414378771256, 4.0354826619978486, 3.394556160332665, 3.394556160332665, 3.640607976068472, 3.9816519468106404, 3.9816519468106404, 3.8848894718957876, 1.2300049136421265, 0.9703182313593083, 1.1149715082131986, 4.209521031606126, 3.7879103930802827, 3.559365741552578, 4.116195412202856, 3.640607976068472, 3.9816519468106404, 3.3837860576605068, 3.394556160332665, 3.74248775913161, 3.4443621361054055, 3.74248775913161, 3.74248775913161, 3.559365741552578, 3.7879103930802827, 3.74248775913161, 3.5720417324448297, 3.5720417324448297, 3.559365741552578, 3.559365741552578, 3.559365741552578, 3.1314336279185797, 3.9816519468106404, 3.640607976068472, 3.9816519468106404, 3.640607976068472, 3.7261868108329153, 3.619727703949687, 3.7261868108329153, 3.559365741552578, 3.459415020578627, 3.3893414378771256, 3.7879103930802827, 3.559365741552578, 3.619727703949687, 3.3837860576605068, 3.74248775913161, 3.388484918541246, 2.901563280937833, 3.7879103930802827, 3.7879103930802827, 3.7879103930802827, 4.0354826619978486, 3.559365741552578, 3.5720417324448297, 3.5720417324448297, 3.8846610411875493, 3.5720417324448297, 3.7879103930802827]","[0.9902571162858939, 3.559365741552578, 3.640607976068472, 3.8848894718957876, 3.619727703949687, 3.833702129663158, 3.1314336279185797, 3.5720417324448297, 4.231058968688838, 3.5720417324448297, 3.559365741552578, 3.1314336279185797, 3.559365741552578, 3.640607976068472, 3.388484918541246, 3.7879103930802827, 3.74248775913161, 3.459415020578627, 4.118170817873237]"
