train_score,test_score,pred_train,pred_test
0.8357029306045147,0.7260163129194462,"[3.556298593857117, 3.556298593857117, 1.2594133037772615, 1.2594133037772615, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.556298593857117, 4.176715143746672, 5.170296431516918, 3.4138827401191314, 3.556298593857117, 5.170296431516918, 4.147274757571839, 3.556298593857117, 3.4138827401191314, 4.043205137661892, 3.3739579723442277, 3.3739579723442277, 3.7466790986234755, 3.7466790986234755, 4.147274757571839, 3.556298593857117, 4.176715143746672, 3.3739579723442277, 1.2594133037772615, 1.2594133037772615, 3.556298593857117, 3.7584608406493425, 3.556298593857117, 4.07016667672755, 3.7466790986234755, 4.176715143746672, 3.556298593857117, 3.3739579723442277, 3.92800133686406, 3.92800133686406, 3.556298593857117, 3.7584608406493425, 3.92800133686406, 5.170296431516918, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.3739579723442277, 3.3739579723442277, 3.556298593857117, 4.176715143746672, 3.7466790986234755, 3.7466790986234755, 3.4138827401191314, 3.7584608406493425, 3.92800133686406, 3.556298593857117, 4.07016667672755, 3.556298593857117, 3.3739579723442277, 3.4138827401191314, 3.7584608406493425, 3.556298593857117, 3.556298593857117, 3.556298593857117, 3.3739579723442277, 3.4138827401191314, 2.8903717578961645, 3.7584608406493425, 3.7584608406493425, 4.043205137661892, 4.07016667672755, 3.556298593857117, 3.556298593857117, 3.99911771227908, 3.556298593857117, 3.7584608406493425]","[3.99911771227908, 3.556298593857117, 3.556298593857117, 3.7466790986234755, 5.170296431516918, 3.4138827401191314, 4.176715143746672, 4.176715143746672, 4.147274757571839, 1.2594133037772615, 5.170296431516918, 3.556298593857117, 3.92800133686406, 3.556298593857117, 4.176715143746672, 3.7466790986234755, 4.07016667672755, 3.92800133686406, 3.7584608406493425, 3.556298593857117]"
0.8524291600823685,0.26096332915655207,"[3.697565668954106, 1.237296493739745, 1.237296493739745, 3.5236878266852445, 3.697565668954106, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 4.2619195293186705, 4.635791737505874, 3.3569467828330666, 3.5236878266852445, 5.541893674648891, 5.541893674648891, 4.010739711142349, 3.5236878266852445, 3.3569467828330666, 3.9198701023882303, 3.5236878266852445, 3.5236878266852445, 3.708440950061887, 3.708440950061887, 3.708440950061887, 3.708440950061887, 4.010739711142349, 4.010739711142349, 3.5236878266852445, 4.2619195293186705, 3.5236878266852445, 1.237296493739745, 4.635791737505874, 3.697565668954106, 3.9198701023882303, 3.5236878266852445, 3.177232291543638, 3.5236878266852445, 3.5236878266852445, 3.697565668954106, 3.5236878266852445, 3.9198701023882303, 4.635791737505874, 3.697565668954106, 3.697565668954106, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.5236878266852445, 3.708440950061887, 3.708440950061887, 3.708440950061887, 3.3569467828330666, 3.708440950061887, 3.708440950061887, 3.9198701023882303, 3.697565668954106, 3.697565668954106, 3.5236878266852445, 3.697565668954106, 3.5236878266852445, 3.177232291543638, 3.9198701023882303, 3.5236878266852445, 3.177232291543638, 3.697565668954106, 3.3569467828330666, 3.177232291543638, 3.9198701023882303, 4.635791737505874, 3.5236878266852445, 3.697565668954106, 3.697565668954106, 3.697565668954106, 3.9198701023882303]","[3.697565668954106, 3.708440950061887, 3.3569467828330666, 4.010739711142349, 1.237296493739745, 4.635791737505874, 3.708440950061887, 3.708440950061887, 3.697565668954106, 3.697565668954106, 3.697565668954106, 3.697565668954106, 3.5236878266852445, 3.3569467828330666, 3.5236878266852445, 3.177232291543638, 3.9198701023882303, 3.9198701023882303, 3.9198701023882303, 3.697565668954106]"
0.8713559071179814,0.6444514941923054,"[3.5879000521728153, 1.147961078612592, 3.81712372327335, 3.500811919591758, 3.500811919591758, 3.500811919591758, 3.500811919591758, 3.500811919591758, 4.1023430948352315, 4.29032447667059, 3.389896864436928, 5.541893674648891, 5.541893674648891, 4.010739711142349, 3.500811919591758, 3.385939881768785, 3.385939881768785, 4.043205137661892, 3.787662114359963, 4.1023430948352315, 4.1023430948352315, 4.010739711142349, 4.010739711142349, 3.7584124781754356, 4.129389903964902, 3.3664047042593075, 1.147961078612592, 1.147961078612592, 1.147961078612592, 4.29032447667059, 3.5879000521728153, 3.877450574470329, 3.500811919591758, 4.29032447667059, 3.787662114359963, 4.1023430948352315, 3.500811919591758, 3.81712372327335, 3.500811919591758, 3.81712372327335, 3.81712372327335, 3.500811919591758, 3.81712372327335, 4.29032447667059, 3.5879000521728153, 3.5879000521728153, 3.500811919591758, 3.500811919591758, 3.500811919591758, 3.3664047042593075, 3.3664047042593075, 3.500811919591758, 3.787662114359963, 3.389896864436928, 4.1023430948352315, 3.787662114359963, 3.877450574470329, 3.81712372327335, 3.727611647443304, 3.7584124781754356, 3.727611647443304, 3.500811919591758, 3.3664047042593075, 3.385939881768785, 3.500811919591758, 3.500811919591758, 3.3664047042593075, 3.81712372327335, 3.389896864436928, 3.877450574470329, 3.877450574470329, 3.877450574470329, 4.043205137661892, 4.29032447667059, 3.500811919591758, 3.5879000521728153, 3.5879000521728153, 3.877450574470329]","[3.5879000521728153, 1.147961078612592, 3.500811919591758, 3.500811919591758, 4.29032447667059, 3.500811919591758, 3.500811919591758, 3.500811919591758, 3.787662114359963, 3.500811919591758, 3.877450574470329, 3.5879000521728153, 3.500811919591758, 4.1023430948352315, 3.787662114359963, 3.877450574470329, 3.7584124781754356, 3.3664047042593075, 3.81712372327335, 3.5879000521728153]"
0.8687374103572577,0.6671892355219267,"[3.5672107479269113, 3.5672107479269113, 1.1915871936505475, 1.1915871936505475, 3.7099000795764283, 3.8398729718990663, 3.7099000795764283, 3.660574490720928, 3.660574490720928, 3.660574490720928, 3.9962418961626462, 4.284418212284038, 5.613128106388071, 3.5672107479269113, 5.515442845536684, 3.3897542567421275, 3.3897542567421275, 3.24809767313999, 3.24809767313999, 3.7194857385955813, 3.7194857385955813, 3.9962418961626462, 3.9962418961626462, 3.985888061440314, 3.985888061440314, 3.5672107479269113, 4.129389903964902, 3.5672107479269113, 1.1915871936505475, 1.1915871936505475, 1.1915871936505475, 4.163209010922897, 3.5672107479269113, 4.163209010922897, 3.7194857385955813, 3.9962418961626462, 3.24809767313999, 3.8398729718990663, 3.5672107479269113, 3.8398729718990663, 3.8398729718990663, 3.7103109043490687, 3.8398729718990663, 4.163209010922897, 3.5672107479269113, 3.5672107479269113, 3.5672107479269113, 3.660574490720928, 3.660574490720928, 3.660574490720928, 3.660574490720928, 3.5672107479269113, 3.660574490720928, 3.9962418961626462, 3.7194857385955813, 3.7194857385955813, 3.3897542567421275, 3.9962418961626462, 3.7194857385955813, 3.7103109043490687, 3.8398729718990663, 4.163209010922897, 3.3897542567421275, 3.7103109043490687, 3.660574490720928, 3.5672107479269113, 3.660574490720928, 3.24809767313999, 3.8398729718990663, 3.24809767313999, 3.7103109043490687, 3.7103109043490687, 3.7103109043490687, 4.284418212284038, 4.163209010922897, 3.5672107479269113, 3.5672107479269113, 3.8398729718990663, 3.5672107479269113]","[3.5672107479269113, 3.660574490720928, 3.3897542567421275, 5.515442845536684, 3.985888061440314, 3.7099000795764283, 4.284418212284038, 3.7103109043490687, 3.660574490720928, 3.660574490720928, 3.660574490720928, 3.5672107479269113, 3.5672107479269113, 4.163209010922897, 3.660574490720928, 3.24809767313999, 3.3897542567421275, 3.660574490720928, 3.7103109043490687]"
0.8281359943697004,0.8176986043195493,"[3.686719906521509, 3.686719906521509, 1.1331052234948915, 3.499585964997424, 3.686719906521509, 3.499585964997424, 3.499585964997424, 3.499585964997424, 3.499585964997424, 3.499585964997424, 4.007982706537458, 4.394449154672439, 4.651290158160694, 3.3852625713909967, 3.499585964997424, 5.541893674648891, 5.541893674648891, 3.8990563144148935, 3.499585964997424, 3.3852625713909967, 3.3852625713909967, 4.007982706537458, 3.499585964997424, 3.499585964997424, 3.6391118505900164, 4.007982706537458, 4.007982706537458, 3.8990563144148935, 1.1331052234948915, 1.1331052234948915, 1.1331052234948915, 4.651290158160694, 3.795941449858984, 3.499585964997424, 4.651290158160694, 3.6391118505900164, 4.007982706537458, 3.499585964997424, 3.499585964997424, 3.686719906521509, 3.499585964997424, 3.686719906521509, 3.686719906521509, 3.499585964997424, 3.795941449858984, 3.686719906521509, 3.686719906521509, 3.686719906521509, 3.499585964997424, 3.499585964997424, 3.499585964997424, 3.499585964997424, 4.007982706537458, 3.6391118505900164, 4.007982706537458, 3.6391118505900164, 3.686719906521509, 3.499585964997424, 3.686719906521509, 3.499585964997424, 3.499585964997424, 3.3852625713909967, 3.795941449858984, 3.499585964997424, 3.499585964997424, 3.499585964997424, 3.686719906521509, 3.3852625713909967, 2.8903717578961645, 3.795941449858984, 3.795941449858984, 3.795941449858984, 4.007982706537458, 3.499585964997424, 3.686719906521509, 3.686719906521509, 3.686719906521509, 3.686719906521509, 3.795941449858984]","[1.1331052234948915, 3.499585964997424, 3.6391118505900164, 3.8990563144148935, 3.499585964997424, 3.795941449858984, 3.499585964997424, 3.686719906521509, 4.651290158160694, 3.686719906521509, 3.499585964997424, 3.499585964997424, 3.499585964997424, 3.6391118505900164, 3.3852625713909967, 3.795941449858984, 3.686719906521509, 3.499585964997424, 4.651290158160694]"
