train_score,test_score,pred_train,pred_test
0.0,-0.030559438836545105,"[1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114]","[1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114, 1.2888049637531114]"
0.0,-0.08983907656808099,"[1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349]","[1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349, 1.3326191801253349]"
0.0,-0.00016579033979047253,"[1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134]","[1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134, 1.3091759233496134]"
