significant_fingerprint_bits
MACCSFP123
MACCSFP46
MACCSFP29
MACCSFP36
MACCSFP139
MACCSFP47
MACCSFP50
MACCSFP81
MACCSFP30
MACCSFP97
MACCSFP117
MACCSFP79
MACCSFP26
MACCSFP144
MACCSFP110
MACCSFP45
MACCSFP86
MACCSFP89
MACCSFP88
